id,church_name,former_denomination,address,city,local_authority,region,nation,latitude,longitude,conversion_type,conversion_subtype,current_name,year_converted,decade,source,source_url,confidence_score,notes
,,,,Storrington and Sullington,,,,50.920205,-0.474467,unknown,unknown,Cootham Village Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844479,0.95,Wikidata: http://www.wikidata.org/entity/Q137844479
,,,,Wakefield,,,,53.680743,-1.497168,residential,residential_general,Zion United Reformed Church and lodge to north east,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26550879,0.95,Wikidata: http://www.wikidata.org/entity/Q26550879
,,,,Hawkwell,,,,51.598771,0.659468,unknown,unknown,Emmanuel Church Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844450,0.95,Wikidata: http://www.wikidata.org/entity/Q137844450
,,,,Tonbridge and Malling,,,,51.19761,0.27466,unknown,unknown,Corn Exchange,,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Corn_Exchange,_Tonbridge",0.95,Wikidata: http://www.wikidata.org/entity/Q42851437
,,,,Dunster,,,,51.1832,-3.4459,unknown,unknown,"Priory Church of St George, Dunster",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Priory_Church_of_St_George,_Dunster",0.95,Wikidata: http://www.wikidata.org/entity/Q7245490
,,,,Christchurch,,,,50.7357,-1.767128,unknown,unknown,Bridge Furnishing Factory,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26403750,0.95,Wikidata: http://www.wikidata.org/entity/Q26403750
,,,,Reigate and Banstead,,,,51.291861,-0.142828,unknown,unknown,Netherne Leisure Centre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844078,0.95,Wikidata: http://www.wikidata.org/entity/Q137844078
,,,,Bodmin,,,,50.471079,-4.723442,hospitality,pub,Methodist Chapel,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26501780,0.95,Wikidata: http://www.wikidata.org/entity/Q26501780
,,,,Romsey Extra,,,,50.959044,-1.488455,arts_culture,arts_centre,Mountbatten Gallery,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26460095,0.95,Wikidata: http://www.wikidata.org/entity/Q26460095
,,,,Coventry,,,,52.4107,-1.5108,education,school,"Old Grammar School, Coventry",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Old_Grammar_School,_Coventry",0.95,Wikidata: http://www.wikidata.org/entity/Q7084127
,,,,Rochdale,,,,53.620784,-2.150327,unknown,unknown,E Pitio Plastics,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26367874,0.95,Wikidata: http://www.wikidata.org/entity/Q26367874
,,,,City of Nottingham,,,,52.958002,-1.151987,other_faith,jewish_synagogue,Shakespeare Street Wesleyan Reform Chapel,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Shakespeare_Street_Wesleyan_Reform_Chapel,0.95,Wikidata: http://www.wikidata.org/entity/Q7462817
,,,,Manchester,,,,53.490086,-2.242102,other_faith,jewish_synagogue,Central Synagogue,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26503499,0.95,Wikidata: http://www.wikidata.org/entity/Q26503499
,,,"7 & 8 West Argyle Street, Ullapool IV26 2TY",Highland,,,,57.89599,-5.16201,arts_culture,museum,Ullapool old parish church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17569806,0.95,Wikidata: http://www.wikidata.org/entity/Q17569806
,,,"Sudeley Place, Kemp Town, Brighton, East Sussex, BN2 1HF, England",Brighton,,,,50.817908,-0.117183,residential,residential_general,Playhouse,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q31680193,0.95,Wikidata: http://www.wikidata.org/entity/Q31680193
,,,"The Chapel, Graham Way, Cotford St. Luke, Taunton, Somerset, TA4 1HX",Cotford St Luke,,,,51.03949818,-3.188179177,hospitality,pub,The Chapel,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26303802,0.95,Wikidata: http://www.wikidata.org/entity/Q26303802
,,,,Princethorpe,,,,52.3358,-1.42218,unknown,unknown,"Our Lady of the Angels Church, Princethorpe",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17550796,0.95,Wikidata: http://www.wikidata.org/entity/Q17550796
,,,,Newcastle-under-Lyme,,,,53.013345,-2.225218,commercial,office,Ebenezer House,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26514458,0.95,Wikidata: http://www.wikidata.org/entity/Q26514458
,,,,,,,,51.5153,-0.118889,unknown,unknown,Sardinian Embassy Chapel,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Sardinian_Embassy_Chapel,0.95,Wikidata: http://www.wikidata.org/entity/Q7423804
,,,,Birmingham,,,,52.456957,-1.993013,unknown,unknown,Parish Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137802812,0.95,Wikidata: http://www.wikidata.org/entity/Q137802812
,,,,North Lanarkshire,,,,55.8458,-3.84988,unknown,unknown,Shottskirk,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q7502610,0.95,Wikidata: http://www.wikidata.org/entity/Q7502610
,,,"West Street, Fishguard, SA65 9AD, Wales",Fishguard and Goodwick,,,,51.995511,-4.979188,arts_culture,theatre,Q7777325,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Theatr_Gwaun,0.95,Wikidata: http://www.wikidata.org/entity/Q7777325
,,,,Middleton and Smerrill,,,,53.166538,-1.709086,residential,residential_general,Chapel House,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26403098,0.95,Wikidata: http://www.wikidata.org/entity/Q26403098
,,,"Bury Old Road, Bolton, BL2 2BZ, England",Bolton,,,,53.5798,-2.4178,arts_culture,theatre,Palace Picture House,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q38790746,0.95,Wikidata: http://www.wikidata.org/entity/Q38790746
,,,"Chesterfield Road, Staveley, Chesterfield, Derbyshire S43 3QF",Staveley,,,,53.263567,-1.362198,residential,residential_general,"St Joseph, Staveley",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137635085,0.95,Wikidata: http://www.wikidata.org/entity/Q137635085
,,,,Downham,,,,53.89180219,-2.325748565,unknown,unknown,Village Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26327582,0.95,Wikidata: http://www.wikidata.org/entity/Q26327582
,,,,Broad Clyst,,,,50.794071,-3.440052,unknown,unknown,Chapel Court,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26390509,0.95,Wikidata: http://www.wikidata.org/entity/Q26390509
,,,,Sheffield,,,,53.38315,-1.46928,unknown,unknown,Sheffield Cathedral,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Sheffield_Cathedral,0.95,Wikidata: http://www.wikidata.org/entity/Q1421317
,,,,Ceredigion,,,,52.399767,-4.07049,unknown,unknown,Penparcau Memorial Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q99452378,0.95,Wikidata: http://www.wikidata.org/entity/Q99452378
,,,,Caistor,,,,53.49709776,-0.317882892,education,library,Caistor School Library,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26316723,0.95,Wikidata: http://www.wikidata.org/entity/Q26316723
,,,,Hebden Royd,,,,53.72799,-1.98305,education,school,"Mytholmroyd Methodist Chapel, dwarf wall and railings, and Sunday School",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q80310872,0.95,Wikidata: http://www.wikidata.org/entity/Q80310872
,,,"Seymour Road, Bolton, BL1 8PG, England",Bolton,,,,53.598345433,-2.43130743,arts_culture,theatre,"Methodist Theatre Church, Bolton",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q33083989,0.95,Wikidata: http://www.wikidata.org/entity/Q33083989
,,,,Stockport,,,,53.40847585,-2.152043084,commercial,office,Chapel Studio,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26320019,0.95,Wikidata: http://www.wikidata.org/entity/Q26320019
,,,,Iwerne Minster,,,,50.928503,-2.190961,unknown,unknown,Abingdon Memorial Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26403918,0.95,Wikidata: http://www.wikidata.org/entity/Q26403918
,,,,Thatcham,,,,51.4039,-1.25129,education,school,"Old Bluecoat School, Thatcham",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Old_Bluecoat_School,_Thatcham",0.95,Wikidata: http://www.wikidata.org/entity/Q7083491
,,,,Abersychan,,,,51.746703,-3.0642872,unknown,unknown,Varteg Community Centre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q99451298,0.95,Wikidata: http://www.wikidata.org/entity/Q99451298
,,,"Narberth Community Library, St James Street, Narberth, Pembrokeshire, SA67 7BU, Wales",Pembrokeshire,,,,51.799245,-4.74061,hospitality,pub,Narberth Library,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q47488105,0.95,Wikidata: http://www.wikidata.org/entity/Q47488105
