id,church_name,former_denomination,address,city,local_authority,region,nation,latitude,longitude,conversion_type,conversion_subtype,current_name,year_converted,decade,sale_date,sale_price,use_history,buyer_name,company_number,company_type,sic_code,incorporated_country,ofsted_urn,cqc_id,inspection_rating,source,source_url,confidence_score,confidence_tier,notes
,,,Chase Side,,,,,51.6409934,-0.1467739,unknown,unknown,Oak Hill Chapel,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/9871452,0.7,,"OSM way/9871452 | tags: {'addr:housename': 'Oak Hill College', 'addr:street': 'Chase Side', 'building': 'chapel', 'name': 'Oak Hill Chapel', 'wikidata': 'Q99889339'}"
,,,Portland Square,Bristol,,,,51.4612135,-2.5846759,arts_culture,theatre,Circomedia,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/24239202,0.7,,"OSM way/24239202 | tags: {'addr:city': 'Bristol', 'addr:housename': ""St Paul's Church"", 'addr:postcode': 'BS2 8SJ', 'addr:street': 'Portland Square', 'amenity': 'theatre', 'building': 'church'}"
,St Luke's Church,,Temple Road,Oxford,,,,51.7346026,-1.212042,commercial,office,Oxfordshire History Centre,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/24333755,0.7,,"OSM way/24333755 | tags: {'addr:city': 'Oxford', 'addr:housename': ""St Luke's Church"", 'addr:postcode': 'OX4 2HT', 'addr:street': 'Temple Road', 'building': 'church', 'building:levels': '3'}"
,,,,,,,,51.5285245,-0.2257889,unknown,unknown,The Anglican Chapel,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/24790211,0.7,,"OSM way/24790211 | tags: {'building': 'chapel', 'name': 'The Anglican Chapel', 'source': 'yahoo', 'wikidata': 'Q17527910'}"
,,,391 Ladbroke Grove,London,,,,51.5269287,-0.2159155,unknown,unknown,Dissenters' Chapel,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/24790217,0.7,,"OSM way/24790217 | tags: {'addr:city': 'London', 'addr:housenumber': '391', 'addr:postcode': 'W10 4SR', 'addr:street': 'Ladbroke Grove', 'building': 'chapel', 'listed_status': 'Grade II*'}"
,,,St Albans Road,Watford,,,,51.6845162,-0.3929404,unknown,unknown,Stanborough Park Seventh-day Adventist Church,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/24906034,0.7,,"OSM way/24906034 | tags: {'addr:city': 'Watford', 'addr:country': 'GB', 'addr:postcode': 'WD25 9JL', 'addr:street': 'St Albans Road', 'building': 'church', 'name': 'Stanborough Park Seventh-day Adventist Church'}"
,,,42 Cheam Road,,,,,51.3616706,-0.1971907,arts_culture,arts_centre,Secombe Theatre,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/25498028,0.7,,"OSM way/25498028 | tags: {'addr:housenumber': '42', 'addr:street': 'Cheam Road', 'building': 'church', 'building:use': 'civic', 'disused:amenity': 'theatre', 'name': 'Secombe Theatre'}"
,,,87-89 Tarling Road,London,,,,51.5119325,0.0136497,community,community_centre,St Luke's Community Centre,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/25671119,0.7,,"OSM way/25671119 | tags: {'addr:city': 'London', 'addr:housenumber': '87-89', 'addr:postcode': 'E16 1HN', 'addr:street': 'Tarling Road', 'amenity': 'community_centre', 'building': 'church'}"
,,,,,,,,51.5020686,-0.0784329,unknown,unknown,London City Mission,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/25948062,0.7,,"OSM way/25948062 | tags: {'building': 'church', 'name': 'London City Mission', 'wikidata': 'Q7593659'}"
,,,Cranleigh Road,Guildford,,,,51.1956584,-0.5351263,unknown,unknown,St Johns Seminary,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/26126778,0.7,,"OSM way/26126778 | tags: {'addr:city': 'Guildford', 'addr:postcode': 'GU5 0QX', 'addr:street': 'Cranleigh Road', 'addr:suburb': 'Wonersh', 'building': 'church', 'fhrs:id': '164777'}"
,,,163B Church Road,,,,,51.4591495,-2.5570889,south_asian_faith,hindu_mandir,The Hindu Temple (Bristol),,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/26454509,0.7,,"OSM way/26454509 | tags: {'addr:housenumber': '163B', 'addr:street': 'Church Road', 'amenity': 'place_of_worship', 'building': 'chapel', 'building:use': 'temple', 'name': 'The Hindu Temple (Bristol)'}"
,,,,,,,,52.0565547,1.1551387,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/26653156,0.7,,OSM way/26653156 | tags: {'building': 'church'}
,,,,,,,,52.0646908,1.1674874,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/27106161,0.7,,OSM way/27106161 | tags: {'building': 'chapel'}
,,,,,,,,52.0644835,1.1682211,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/27106163,0.7,,OSM way/27106163 | tags: {'building': 'chapel'}
