id,church_name,former_denomination,address,city,local_authority,region,nation,latitude,longitude,conversion_type,conversion_subtype,current_name,year_converted,decade,source,source_url,confidence_score,notes,confidence_tier,_nation_sort
1c61b1bd5b49,,,,Wirral,,,,53.38953,-3.01124,unknown,unknown,Remains of Church of St Mary,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q69558641,0.95,Wikidata: http://www.wikidata.org/entity/Q69558641,high,5.0
4fb333dfb900,,,,New Leake,,,,53.11344,0.101243,unknown,unknown,"Church of St Paul, Eastville",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26493655,0.95,Wikidata: http://www.wikidata.org/entity/Q26493655,high,5.0
899fbf336258,,,,Nantwich,,,,53.0671,-2.5193,residential,residential_general,"Congregational Chapel, Nantwich",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Congregational_Chapel,_Nantwich",0.95,Wikidata: http://www.wikidata.org/entity/Q5160706,high,5.0
0ef618be5591,,,"11, Castle Street, Reading, Berkshire, RG1",Reading,,,,51.45348,-0.97431,hospitality,pub,BrewDog Reading,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26407285,0.95,Wikidata: http://www.wikidata.org/entity/Q26407285,high,5.0
2d0fdc844a2c,,,,City Of London,,,,51.5166,-0.0941096,unknown,unknown,"St Alban, Wood Street",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/St_Alban,_Wood_Street",0.95,Wikidata: http://www.wikidata.org/entity/Q7592245,high,5.0
fafd7e393328,,,,Sheffield,,,,53.366752,-1.474278,residential,residential_general,St Barnabas House,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26546680,0.95,Wikidata: http://www.wikidata.org/entity/Q26546680,high,5.0
82b4fd59570f,,,,South Georgia And The South Sandwich Islands,,,,,,unknown,unknown,Norwegian Anglican Church,,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Norwegian_Anglican_Church,_Grytviken",0.95,Wikidata: http://www.wikidata.org/entity/Q3281864,high,5.0
a02dfcb8bf2c,,,,London Borough Of Croydon,,,,51.386748,-0.110376,unknown,unknown,Oshwal Mahajanwadi,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26351431,0.95,Wikidata: http://www.wikidata.org/entity/Q26351431,high,5.0
4c44b8174190,,,,Wadsworth,,,,53.763165,-2.005326,residential,residential_general,Crimsworth Methodist Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26521074,0.95,Wikidata: http://www.wikidata.org/entity/Q26521074,high,5.0
0db283771d3f,,,"12 Old Orchard Street, Bath, Avon, BA1 1JU, England",Bath And North East Somerset,,,,51.380095,-2.357813,arts_culture,theatre,Old Orchard Street Theatre,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Old_Orchard_Street_Theatre,0.95,Wikidata: http://www.wikidata.org/entity/Q7084669,high,5.0
9cd89b5c01aa,,,,Cold Hanworth,,,,53.335927,-0.446962,residential,residential_general,Old Church House,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26641693,0.95,Wikidata: http://www.wikidata.org/entity/Q26641693,high,5.0
51cb1099ba28,,,,,,,,51.061,-1.314,unknown,unknown,Old Minster,,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Old_Minster,_Winchester",0.95,Wikidata: http://www.wikidata.org/entity/Q2193676,high,5.0
4eb6d1eccd1a,,,"Church Leeds, 177 Woodhouse Lane, Woodhouse, Leeds, LS2 3AR",Leeds,,,,53.80656,-1.551036,hospitality,nightclub,Trinity Congregational Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26547231,0.95,Wikidata: http://www.wikidata.org/entity/Q26547231,high,5.0
dca83b53e354,,,,City Of Edinburgh,,,,55.9523,-3.10845,unknown,unknown,Portobello Old Parish Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17807329,0.95,Wikidata: http://www.wikidata.org/entity/Q17807329,high,5.0
e14f89c5e099,,,,Liverpool,,,,53.42454,-2.95536,mosque,mosque_general,Baitul Lateef Mosque,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Baitul_Lateef_Mosque,0.95,Wikidata: http://www.wikidata.org/entity/Q15272512,high,5.0
9e97adc39a0a,,,,Foscott,,,,52.0157,-0.956927,residential,residential_general,St Leonard's,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17536112,0.95,Wikidata: http://www.wikidata.org/entity/Q17536112,high,5.0
bb8642b6f684,,,,High Peak,,,,53.444501,-1.955156,residential,residential_general,Former Methodist Chapel and Sunday school with attached walls and railings,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26664141,0.95,Wikidata: http://www.wikidata.org/entity/Q26664141,high,5.0
a3ef9cc459ed,,,,Exeter,,,,50.7224,-3.5313,unknown,unknown,St. Mary Major,,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/Church_of_St_Mary_Major,_Exeter",0.95,Wikidata: http://www.wikidata.org/entity/Q20968752,high,5.0
417bdc009f85,,,,Bath And North East Somerset,,,,51.376478,-2.358489,unknown,unknown,Widcombe Community Centre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26673914,0.95,Wikidata: http://www.wikidata.org/entity/Q26673914,high,5.0
f71479efd816,,,,Oldham,,,,53.537101476,-2.131030619,unknown,unknown,St John's Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q130474903,0.95,Wikidata: http://www.wikidata.org/entity/Q130474903,high,5.0
cf30e8327103,,,,Bembridge,,,,50.691768,-1.091254,unknown,unknown,The Old Chapel,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137803179,0.95,Wikidata: http://www.wikidata.org/entity/Q137803179,high,5.0
ce3376e62ae8,,,,Blackburn With Darwen,,,,53.7447,-2.4868,unknown,unknown,"St Peter's Church, Blackburn",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q80425869,0.95,Wikidata: http://www.wikidata.org/entity/Q80425869 | Also in: wikidata_formerly_church,high,5.0
ea306de2fb11,,,,City Of Portsmouth,,,,50.8138552,-1.0801929,hospitality,pub,The Grapes,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q136213365,0.95,Wikidata: http://www.wikidata.org/entity/Q136213365,high,5.0
3b41fbe250d4,,,,Wymondham,,,,52.571,1.11035,unknown,unknown,Becket's Chapel,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17537633,0.95,Wikidata: http://www.wikidata.org/entity/Q17537633,high,5.0
99403f51e5c5,,,,Didcot,,,,51.605438,-1.236526,unknown,unknown,Northbourne Centre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844069,0.95,Wikidata: http://www.wikidata.org/entity/Q137844069,high,5.0
d3c517da8975,,,,Sinnington,,,,54.2652,-0.856039,residential,residential_general,Barn approximately 10 metres north east of The Hall,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Sinnington_Grange_Hall,0.95,Wikidata: http://www.wikidata.org/entity/Q17526034,high,5.0
41e3fcd6698b,,,,Christchurch,,,,50.7357,-1.767128,unknown,unknown,Bridge Furnishing Factory,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26403750,0.95,Wikidata: http://www.wikidata.org/entity/Q26403750,high,5.0
9edbc36acefc,,,,Bodmin,,,,50.471079,-4.723442,hospitality,pub,Methodist Chapel,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26501780,0.95,Wikidata: http://www.wikidata.org/entity/Q26501780,high,5.0
4cdd358ece5b,,,,Romsey Extra,,,,50.959044,-1.488455,arts_culture,arts_centre,Mountbatten Gallery,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26460095,0.95,Wikidata: http://www.wikidata.org/entity/Q26460095,high,5.0
c18c2b8f5fd1,,,,Rochdale,,,,53.620784,-2.150327,unknown,unknown,E Pitio Plastics,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26367874,0.95,Wikidata: http://www.wikidata.org/entity/Q26367874,high,5.0
6559bbdb7d5b,,,,Sibton,,,,52.27338447,1.459475546,education,school,Sibton Nursery School,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q124691988,0.95,Wikidata: http://www.wikidata.org/entity/Q124691988,high,5.0
d4fc98b3b9f4,,,,Hellifield,,,,54.002355503,-2.221437692,residential,residential_general,The Old Chapel,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q122972521,0.95,Wikidata: http://www.wikidata.org/entity/Q122972521,high,5.0
d846328ecb44,,,,Bexhill-On-Sea,,,,50.845933,0.4686,hospitality,restaurant,The Chilli Tree,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844148,0.95,Wikidata: http://www.wikidata.org/entity/Q137844148,high,5.0
f546fc212924,,,,Stockport,,,,53.38871,-2.05983,unknown,unknown,Remains of Church of All Saints,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q79642438,0.95,Wikidata: http://www.wikidata.org/entity/Q79642438,high,5.0
37dfd96bcc55,,,,Manchester,,,,53.490086,-2.242102,other_faith,jewish_synagogue,Central Synagogue,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26503499,0.95,Wikidata: http://www.wikidata.org/entity/Q26503499,high,5.0
ee6f5fffd177,,,,Rugby,,,,52.374769,-1.248005,unknown,unknown,Pakistani Community Centre,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137842957,0.95,Wikidata: http://www.wikidata.org/entity/Q137842957,high,5.0
f4d727c81583,,,,Marlborough,,,,51.420719,-1.728735,arts_culture,theatre,Parade Cinema,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26562852,0.95,Wikidata: http://www.wikidata.org/entity/Q26562852,high,5.0
d201b6047d86,,,,Netley Marsh,,,,50.909068,-1.554361,unknown,unknown,Bartley Village Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844752,0.95,Wikidata: http://www.wikidata.org/entity/Q137844752,high,5.0
4d9188abe4a4,,,,Nayland-With-Wissington,,,,51.9695,0.874466,unknown,unknown,Court Knoll,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q17646871,0.95,Wikidata: http://www.wikidata.org/entity/Q17646871,high,5.0
f6e9e2342f26,,,,Treverbyn,,,,50.368162,-4.806379,residential,residential_general,The Chapel Guest House,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q111874628,0.95,Wikidata: http://www.wikidata.org/entity/Q111874628,high,5.0
275effb5ce9e,,,,Trafford,,,,53.402599,-2.331751,unknown,unknown,Holy Cross Church Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844124,0.95,Wikidata: http://www.wikidata.org/entity/Q137844124,high,5.0
2ab29d482791,,,"The Chapel, Graham Way, Cotford St. Luke, Taunton, Somerset, TA4 1HX",Cotford St Luke,,,,51.03949818,-3.188179177,hospitality,pub,The Chapel,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26303802,0.95,Wikidata: http://www.wikidata.org/entity/Q26303802,high,5.0
6210e7474706,,,,Hutton Henry And Station Town,,,,54.719062,-1.343371,unknown,unknown,St Francis Village Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137834428,0.95,Wikidata: http://www.wikidata.org/entity/Q137834428,high,5.0
6f3af8c648b2,,,,,,,,51.5468,-0.0507,unknown,unknown,Gravel Pit Chapel,,,wikidata_formerly_church,https://en.wikipedia.org/wiki/Gravel_Pit_Chapel,0.95,Wikidata: http://www.wikidata.org/entity/Q16839942,high,5.0
dbe53ab0cb2a,,,,Salisbury,,,,51.0689501,-1.7986393,hospitality,pub,The Bridge Tap,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q136213534,0.95,Wikidata: http://www.wikidata.org/entity/Q136213534,high,5.0
296dab8e7d14,,,,Slaugham,,,,51.08306,-0.202962,unknown,unknown,Baron Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844498,0.95,Wikidata: http://www.wikidata.org/entity/Q137844498,high,5.0
6370b827f3c1,,,,Reading,,,,51.482665,-0.969648,unknown,unknown,St Barnabas Church Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q135883629,0.95,Wikidata: http://www.wikidata.org/entity/Q135883629,high,5.0
d8c1f7e6481d,,,,City Of Plymouth,,,,50.369762,-4.173755,commercial,shop,"8, George Street",,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26605667,0.95,Wikidata: http://www.wikidata.org/entity/Q26605667,high,5.0
20604df2bb96,,,,Storrington And Sullington,,,,50.920205,-0.474467,unknown,unknown,Cootham Village Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844479,0.95,Wikidata: http://www.wikidata.org/entity/Q137844479,high,5.0
343809c0b944,,,,Newcastle-Under-Lyme,,,,53.013345,-2.225218,commercial,office,Ebenezer House,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26514458,0.95,Wikidata: http://www.wikidata.org/entity/Q26514458,high,5.0
7aa558cb5f4c,,,,Erewash,,,,52.894105,-1.27493,unknown,unknown,"St James' Church, Long Eaton",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/St_James%27_Church,_Long_Eaton",0.95,Wikidata: http://www.wikidata.org/entity/Q85803015,high,5.0
9f005ff0a19a,,,,Trowbridge,,,,51.32216,-2.21079,unknown,unknown,Conigre Unitarian Church,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q76751630,0.95,Wikidata: http://www.wikidata.org/entity/Q76751630,high,5.0
084eee86fff1,,,"Burton Bradstock Library, The Old Wesleyan Chapel, Burton Bradstock, Bridport, DT6 4QR",Burton Bradstock,,,,50.703374,-2.725969,hospitality,pub,Burton Bradstock Library,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26577093,0.95,Wikidata: http://www.wikidata.org/entity/Q26577093,high,5.0
88edaed1c8d8,,,,Hawkwell,,,,51.598771,0.659468,unknown,unknown,Emmanuel Church Hall,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137844450,0.95,Wikidata: http://www.wikidata.org/entity/Q137844450,high,5.0
3bb307d11fa1,,,,Middleton And Smerrill,,,,53.166538,-1.709086,residential,residential_general,Chapel House,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q26403098,0.95,Wikidata: http://www.wikidata.org/entity/Q26403098,high,5.0
241bf1065485,,,,Chignall,,,,51.7608,0.417732,residential,residential_general,Former Church of St James,,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/St_James%27_Church,_Chignal_St_James",0.95,Wikidata: http://www.wikidata.org/entity/Q17545056,high,5.0
e6fedb7accea,,,,Brighton And Hove,,,,50.8266,-0.153018,unknown,unknown,"St Stephen's Church, Brighton",,,wikidata_formerly_church,"https://en.wikipedia.org/wiki/St_Stephen%27s_Church,_Brighton",0.95,Wikidata: http://www.wikidata.org/entity/Q7595471,high,5.0
b5187946d4db,,,,London Borough Of Sutton,,,,51.359272,-0.142157,residential,residential_general,Castlemead Court,,,wikidata_formerly_church,http://www.wikidata.org/entity/Q137782202,0.95,Wikidata: http://www.wikidata.org/entity/Q137782202,high,5.0
